timestamp,Open,High,Low,Close,Volume,OI Open,OI High,OI Low,OI Close,FR Open,FR High,FR Low,FR Close
2022-10-14,19371.5,19940.0,19050.0,19167.5,32730.05527466,475494244.0,500392917.0,475079348.0,487867395.0,-0.0044,0.01,-0.0052,0.0034
2022-10-15,19167.5,19216.5,18950.0,19059.5,11163.64824025,487867395.0,520512647.0,484854697.0,503170268.0,0.0034,0.01,-0.0209,-0.0041
2022-10-16,19059.5,19409.5,19059.5,19252.0,13900.68252492,503170268.0,520437409.0,486966965.0,489141123.0,-0.0041,0.01,-0.011,0.003
2022-10-17,19252.0,19666.0,19146.0,19536.0,20899.35826804,489141123.0,518511288.0,487968570.0,511411059.0,0.003,0.01,-0.009,0.0042
2022-10-18,19536.0,19708.0,19082.0,19319.5,28739.15387561,511411059.0,524337468.0,494672276.0,500311818.0,0.0042,0.01,-0.0263,0.01
2022-10-19,19319.5,19349.0,19054.0,19118.5,17570.66847358,500311818.0,532650902.0,498261169.0,532119222.0,0.01,0.01,-0.0118,0.0075
2022-10-20,19118.5,19339.5,18865.0,19039.0,26190.85545944,532119222.0,543867547.0,516479507.0,532814600.0,0.0075,0.01,-0.0153,0.0043
2022-10-21,19039.0,19240.0,18642.5,19154.0,27404.05779014,532814600.0,541324652.0,515693480.0,517364655.0,0.0043,0.01,-0.0174,-0.0042
2022-10-22,19154.0,19247.0,19091.5,19195.0,8484.76594319,517364655.0,531743360.0,514645057.0,522568902.0,-0.0042,0.01,-0.0294,-0.0063
2022-10-23,19195.0,19688.5,19038.5,19560.0,17859.11611635,522568902.0,528499562.0,515013990.0,516771488.0,-0.0063,0.01,-0.0119,-0.0028
2022-10-24,19560.0,19592.5,19127.0,19322.0,22052.17711577,516771488.0,524841396.0,509420313.0,511590589.0,-0.0028,0.01,-0.0173,-0.0052
2022-10-25,19322.0,20417.0,19230.5,20077.0,38753.57732732,511590589.0,521193284.0,491846225.0,502612882.0,-0.0052,0.01,-0.0107,0.0094
2022-10-26,20077.0,21020.5,20050.0,20765.0,43768.47983955,502612882.0,524640672.0,500678344.0,515170265.0,0.0094,0.01,-0.0259,0.0034
2022-10-27,20765.0,20865.0,20166.0,20293.5,34998.49655663,515170265.0,516734206.0,493024362.0,509438622.0,0.0034,0.01,-0.0116,0.01
2022-10-28,20293.5,20748.0,19968.0,20590.5,28120.93420713,509438622.0,519811133.0,501438914.0,506807115.0,0.01,0.01,-0.0031,0.0007
2022-10-29,20590.5,21088.0,20554.5,20814.5,22312.94408834,506807115.0,528319994.0,493055993.0,494894089.0,0.0007,0.01,-0.0246,0.01
2022-10-30,20814.5,20928.0,20500.0,20620.5,16762.45127281,494894089.0,534016640.0,494894089.0,510218176.0,0.01,0.01,-0.0116,0.0085
2022-10-31,20620.5,20832.0,20230.0,20484.0,25796.98640774,510218176.0,541011512.0,509510552.0,531659590.0,0.0085,0.01,-0.0093,0.0047
2022-11-01,20484.0,20680.0,20319.0,20468.0,15807.95165115,531659590.0,540644578.0,523081641.0,533331669.0,0.0047,0.01,-0.0189,0.01
2022-11-02,20468.0,20797.0,20019.0,20140.5,44185.20648212,533331669.0,533458602.0,505727213.0,522516757.0,0.01,0.01,-0.0147,0.0054
2022-11-03,20140.5,20380.0,20013.0,20201.0,24060.33214237,522516757.0,569847923.0,513882180.0,550966832.0,0.0054,0.01,-0.0167,0.0019
2022-11-04,20201.0,21296.0,20174.5,21141.0,45719.88806215,550966832.0,550966832.0,508056837.0,523423389.0,0.0019,0.01,-0.0207,-0.0058
2022-11-05,21141.0,21468.0,21072.0,21295.0,12919.8097064,523423389.0,541178564.0,520386421.0,530921586.0,-0.0058,0.01,-0.0154,0.0014
2022-11-06,21295.0,21353.5,20878.0,20903.5,13827.64272187,530921586.0,533804514.0,515863680.0,518760632.0,0.0014,0.01,-0.0008,0.01
2022-11-07,20903.5,21058.0,20359.5,20585.5,28659.65648277,518760632.0,550496197.0,510477271.0,528056099.0,0.01,0.01,0.0,0.0003
2022-11-08,20585.5,20675.0,16800.0,18536.5,134879.67480371,528056099.0,528056099.0,528056099.0,528056099.0,0.0003,0.0003,0.0003,0.0003
2022-11-09,18536.5,18570.0,15450.0,15866.0,94843.90715185,439278277.0,439302401.0,367602688.0,369523665.0,0.01,0.01,-0.1986,-0.1603
2022-11-10,15866.0,18118.0,15681.5,17555.5,59830.83394509,369523665.0,394688620.0,352835372.0,355247653.0,-0.1603,0.1202,-0.1603,-0.0865
2022-11-11,17555.5,17623.5,16300.0,16998.0,41436.33406196,355247653.0,358139085.0,340079714.0,342914387.0,-0.0865,0.01,-0.1148,-0.0375
